Label;Area;X;Y;Perim.;BX;BY;Width;Height;Circ.;AR;Round;Solidity;Year
DH 216 A_2.jpg:0001-1112;772654.00;6171590.00;777471.00;115762.00;6155245.00;762937.00;34266.00;29371.00;0.73;1409.00;0.71;0.93;1995.00
DH 216 A_2.jpg:0002-1114;451856.00;6204197.00;779222.00;80598.00;6192308.00;767832.00;23776.00;23077.00;0.87;1153.00;0.87;0.96;1995.00
DH 216 A_2.jpg:0003-1116;435229.00;6232549.00;781366.00;80018.00;6220979.00;769930.00;24476.00;21678.00;0.85;1194.00;0.84;0.96;1995.00
DH 216 A_2.jpg:0004-1116;246956.00;6254764.00;779556.00;62726.00;6246154.00;770629.00;15385.00;20280.00;0.79;1479.00;0.68;0.95;1995.00
DH 216 A_2.jpg:0005-1119;246467.00;6272691.00;782427.00;63306.00;6266434.00;771329.00;12587.00;22378.00;0.77;1734.00;0.58;0.96;1995.00
DH 216 A_2.jpg:0006-1121;193653.00;6289751.00;784096.00;56313.00;6284615.00;772727.00;10490.00;22378.00;0.77;2044.00;0.49;0.95;1995.00
DH 216 A_2.jpg:0007-1120;53792.00;6301945.00;783433.00;39840.00;6300000.00;774126.00;4196.00;18182.00;0.43;5002.00;0.20;0.86;1995.00
DH 216 A_2.jpg:0008-1153;429850.00;6168655.00;806786.00;82336.00;6156643.00;795105.00;25175.00;23077.00;0.80;1461.00;0.68;0.95;1995.00
DH 216 A_2.jpg:0009-1153;357964.00;6192417.00;806282.00;73944.00;6181818.00;795105.00;22378.00;22378.00;0.82;1199.00;0.83;0.94;1995.00
DH 216 A_2.jpg:0010-1154;383393.00;6216805.00;806414.00;74763.00;6204895.00;796503.00;23077.00;21678.00;0.86;1307.00;0.77;0.96;1995.00
DH 216 A_2.jpg:0011-1153;237175.00;6239108.00;806230.00;59110.00;6230070.00;797902.00;16783.00;17483.00;0.85;1296.00;0.77;0.95;1995.00
DH 216 A_2.jpg:0012-1156;226906.00;6257177.00;808390.00;59519.00;6250350.00;797902.00;13287.00;20979.00;0.81;1639.00;0.61;0.95;1995.00
DH 216 A_2.jpg:0013-1159;323732.00;6278529.00;810895.00;67841.00;6268531.00;800699.00;19580.00;20280.00;0.88;1061.00;0.94;0.95;1995.00
DH 216 A_2.jpg:0014-1160;129591.00;6297835.00;811773.00;47751.00;6293706.00;802098.00;8392.00;18881.00;0.71;2284.00;0.44;0.93;1995.00
DH 216 A_2.jpg:0015-1191;551127.00;6204941.00;833087.00;89978.00;6190909.00;820979.00;27273.00;24476.00;0.86;1217.00;0.82;0.96;1995.00
DH 216 A_2.jpg:0016-1192;683652.00;6171762.00;834325.00;109079.00;6155245.00;821678.00;33566.00;24476.00;0.72;1439.00;0.70;0.92;1995.00
DH 216 A_2.jpg:0017-1192;490000.00;6234902.00;833963.00;85952.00;6222378.00;821678.00;25874.00;24476.00;0.83;1131.00;0.88;0.95;1995.00
DH 216 A_2.jpg:0018-1195;201966.00;6258227.00;836710.00;57301.00;6251049.00;826573.00;13287.00;18881.00;0.77;1426.00;0.70;0.94;1995.00
DH 216 A_2.jpg:0019-1199;193163.00;6273381.00;838556.00;60099.00;6267832.00;826573.00;11189.00;23776.00;0.67;2378.00;0.42;0.92;1995.00
DH 216 A_2.jpg:0020-1200;230818.00;6289678.00;839645.00;60508.00;6283217.00;828671.00;13287.00;20979.00;0.79;1690.00;0.59;0.94;1995.00
DH 216 A_2.jpg:0021-1200;89980.00;6303386.00;838963.00;46183.00;6300000.00;830070.00;6294.00;18881.00;0.53;3228.00;0.31;0.88;1995.00
DH 216 A_2.jpg:0022-1234;471417.00;6174374.00;863054.00;82646.00;6163636.00;850350.00;21678.00;25175.00;0.87;1104.00;0.91;0.96;1995.00
DH 216 A_2.jpg:0023-1233;383882.00;6201175.00;862403.00;77221.00;6191608.00;850350.00;19580.00;23776.00;0.81;1291.00;0.77;0.93;1995.00
DH 216 A_2.jpg:0024-1235;512005.00;6228409.00;863616.00;86842.00;6216783.00;851049.00;23776.00;25175.00;0.85;1045.00;0.96;0.96;1995.00
DH 216 A_2.jpg:0025-1237;546726.00;6258616.00;865063.00;91787.00;6246154.00;852448.00;25874.00;25874.00;0.82;1176.00;0.85;0.95;1995.00
DH 216 A_2.jpg:0027-1243;282654.00;6286740.00;868852.00;63885.00;6279021.00;858741.00;16084.00;20979.00;0.87;1296.00;0.77;0.95;1995.00
DH 216 A_2.jpg:0028-1242;155020.00;6305953.00;868976.00;49559.00;6301399.00;859441.00;9091.00;18881.00;0.79;2052.00;0.49;0.97;1995.00
DH 216 A_2.jpg:0001-0808;809331.00;6161785.00;565313.00;111226.00;6144056.00;550350.00;34266.00;29371.00;0.82;1234.00;0.81;0.95;1995.00
DH 216 A_2.jpg:0003-0813;682185.00;6198304.00;568751.00;107031.00;6181818.00;555245.00;34965.00;26573.00;0.75;1439.00;0.70;0.92;1995.00
DH 216 A_2.jpg:0004-0811;424960.00;6230702.00;567795.00;87450.00;6217483.00;555245.00;25874.00;24476.00;0.70;1567.00;0.64;0.92;1995.00
DH 216 A_2.jpg:0005-0814;483642.00;6258072.00;569278.00;89738.00;6245455.00;555944.00;24476.00;26573.00;0.76;1517.00;0.66;0.95;1995.00
DH 216 A_2.jpg:0006-0816;198543.00;6280118.00;570299.00;56143.00;6274126.00;560839.00;11888.00;19580.00;0.79;1747.00;0.57;0.95;1995.00
DH 216 A_2.jpg:0007-0817;85579.00;6293728.00;571582.00;41817.00;6290909.00;562238.00;5594.00;18182.00;0.62;3227.00;0.31;0.94;1995.00
DH 216 A_2.jpg:0008-0852;496357.00;6151730.00;596115.00;85783.00;6141259.00;581818.00;20979.00;27972.00;0.85;1301.00;0.77;0.96;1995.00
DH 216 A_2.jpg:0009-0856;502225.00;6176941.00;598948.00;86772.00;6165734.00;585315.00;23077.00;26573.00;0.84;1308.00;0.77;0.96;1995.00
DH 216 A_2.jpg:0010-0858;511027.00;6231272.00;600056.00;89978.00;6220979.00;586014.00;20979.00;28671.00;0.79;1384.00;0.72;0.96;1995.00
DH 216 A_2.jpg:0011-0857;502225.00;6204121.00;599637.00;88749.00;6191608.00;587413.00;25175.00;23776.00;0.80;1247.00;0.80;0.95;1995.00
DH 216 A_2.jpg:0012-0861;427405.00;6256989.00;602460.00;81996.00;6247552.00;588811.00;19580.00;27273.00;0.80;1401.00;0.71;0.95;1995.00
DH 216 A_2.jpg:0013-0862;282165.00;6278565.00;601965.00;67261.00;6271329.00;590210.00;13986.00;25175.00;0.78;1860.00;0.54;0.95;1995.00
DH 216 A_2.jpg:0014-0864;34232.00;6291778.00;605904.00;37862.00;6290210.00;595804.00;3497.00;17483.00;0.30;6618.00;0.15;0.75;1995.00
DH 216 A_2.jpg:0015-0896;381437.00;6155107.00;626494.00;76232.00;6146154.00;613986.00;18182.00;25874.00;0.83;1383.00;0.72;0.94;1995.00
DH 216 A_2.jpg:0016-0897;334980.00;6177881.00;627302.00;72856.00;6168531.00;616783.00;19580.00;21678.00;0.79;1085.00;0.92;0.93;1995.00
DH 216 A_2.jpg:0017-0901;603942.00;6207781.00;630283.00;94993.00;6193007.00;618881.00;30070.00;23077.00;0.84;1340.00;0.75;0.96;1995.00
DH 216 A_2.jpg:0019-0905;463592.00;6243100.00;632860.00;85952.00;6229371.00;621678.00;25874.00;22378.00;0.79;1245.00;0.80;0.93;1995.00
DH 216 A_2.jpg:0020-0906;276297.00;6268959.00;633891.00;66032.00;6260839.00;623077.00;15385.00;21678.00;0.80;1373.00;0.73;0.94;1995.00
DH 216 A_2.jpg:0021-0907;176048.00;6287420.00;634697.00;52766.00;6282517.00;624476.00;9790.00;20280.00;0.80;2011.00;0.50;0.96;1995.00
DH 216 A_2.jpg:0022-0940;538902.00;6154653.00;658138.00;99049.00;6143357.00;641958.00;22378.00;30769.00;0.69;1382.00;0.72;0.91;1995.00
DH 216 A_2.jpg:0023-0941;560908.00;6182578.00;657848.00;94514.00;6170629.00;644056.00;24476.00;27972.00;0.79;1182.00;0.85;0.94;1995.00
DH 216 A_2.jpg:0024-0948;447455.00;6209858.00;662660.00;80668.00;6199301.00;650350.00;20280.00;25175.00;0.86;1257.00;0.80;0.96;1995.00
DH 216 A_2.jpg:0025-0949;444521.00;6235077.00;663520.00;81996.00;6225175.00;650350.00;20280.00;26573.00;0.83;1266.00;0.79;0.95;1995.00
DH 216 A_2.jpg:0026-0951;386816.00;6260873.00;665793.00;80767.00;6251748.00;651748.00;18881.00;26573.00;0.75;1414.00;0.71;0.93;1995.00
DH 216 A_2.jpg:0028-0953;228862.00;6281524.00;666196.00;63475.00;6276224.00;653846.00;11189.00;25175.00;0.71;2272.00;0.44;0.94;1995.00
DH 216 A_2.jpg:0029-0955;82156.00;6295109.00;667749.00;44205.00;6292308.00;658042.00;5594.00;19580.00;0.53;3744.00;0.27;0.91;1995.00
DH 216 A_2.jpg:0001-0492;618612.00;6173115.00;343943.00;97650.00;6160140.00;329371.00;25874.00;30070.00;0.82;1174.00;0.85;0.95;1995.00
DH 216 A_2.jpg:0002-0496;508093.00;6199891.00;347211.00;93595.00;6187413.00;333566.00;23776.00;26573.00;0.73;1137.00;0.88;0.95;1995.00
DH 216 A_2.jpg:0003-0497;551127.00;6226861.00;348457.00;92027.00;6215385.00;334266.00;23776.00;27273.00;0.82;1114.00;0.90;0.95;1995.00
DH 216 A_2.jpg:0004-0498;448922.00;6253844.00;349587.00;85952.00;6242657.00;334965.00;22378.00;26573.00;0.76;1250.00;0.80;0.94;1995.00
DH 216 A_2.jpg:0005-0497;293902.00;6275874.00;347601.00;68830.00;6267832.00;335664.00;15385.00;23776.00;0.78;1661.00;0.60;0.94;1995.00
DH 216 A_2.jpg:0006-0499;190718.00;6291646.00;349285.00;58770.00;6286713.00;337762.00;9790.00;23077.00;0.69;2452.00;0.41;0.94;1995.00
DH 216 A_2.jpg:0007-0499;122255.00;6303944.00;349186.00;49390.00;6300699.00;339161.00;7692.00;20280.00;0.63;2853.00;0.35;0.94;1995.00
DH 216 A_2.jpg:0001-0233;538902.00;6203720.00;162890.00;97480.00;6190909.00;148951.00;25175.00;27972.00;0.71;1159.00;0.86;0.92;1995.00
DH 216 A_2.jpg:0002-0233;561886.00;6232035.00;164012.00;95093.00;6220280.00;148951.00;23776.00;28671.00;0.78;1172.00;0.85;0.94;1995.00
DH 216 A_2.jpg:0003-0236;814221.00;6266377.00;165448.00;110647.00;6250350.00;149650.00;32168.00;30769.00;0.84;1198.00;0.84;0.96;1995.00
DH 216 A_2.jpg:0004-0239;419091.00;6297654.00;167026.00;81756.00;6288112.00;153846.00;18881.00;26573.00;0.79;1446.00;0.69;0.94;1995.00
